           2000      71.00     687.56    1778.00     110.70     396.25     624.00     716.50    1761.30          1     434.49
           3000      54.00     813.35    2786.00     100.85     224.25     254.50    1669.50    2750.15          1     914.23
           4000      46.00     423.31    1525.00      64.00     131.00     305.00     461.00    1516.15          1     404.28
           5000      55.00     626.97    1703.00      96.85     334.25     588.50     823.50    1668.15          1     441.62
