consumption and contribution for event A on v1
time slice 1
1 , 713515 , 388590
2 , 671849 , 346965
3 , 627579 , 302951
4 , 582197 , 259189
5 , 534585 , 214476
6 , 502724 , 175098
7 , 451973 , 128875
8 , 411638 , 87529
9 , 368750 , 43441
10 , 321207 , 0
===============================================
time slice 2
===============================================
time slice 3
===============================================
time slice 4
===============================================
time slice 5
===============================================
time slice 6
===============================================
===============================================
consumption and contribution for event B on v1
time slice 1
1 , 171660 , 119514
2 , 157553 , 105468
3 , 143356 , 91807
4 , 132351 , 79754
5 , 116997 , 65203
6 , 104583 , 52518
7 , 91565 , 39374
8 , 77058 , 25918
9 , 64627 , 13122
10 , 51475 , 0
===============================================
time slice 1
1 , 151287 , 119514
2 , 139937 , 105468
3 , 126868 , 91807
4 , 117868 , 79754
5 , 105800 , 65203
6 , 95963 , 52518
7 , 84995 , 39374
8 , 72507 , 25918
9 , 62936 , 13122
10 , 52041 , 0
===============================================
time slice 1
1 , 129018 , 119514
2 , 120040 , 105468
3 , 110631 , 91807
4 , 104153 , 79754
5 , 94590 , 65203
6 , 86124 , 52518
7 , 78225 , 39374
8 , 67790 , 25918
9 , 60099 , 13122
10 , 51342 , 0
===============================================
time slice 1
1 , 105992 , 119514
2 , 100634 , 105468
3 , 93209 , 91807
4 , 89316 , 79754
5 , 81480 , 65203
6 , 76488 , 52518
7 , 69716 , 39374
8 , 62822 , 25918
9 , 57296 , 13122
10 , 51364 , 0
===============================================
time slice 1
1 , 84410 , 119514
2 , 81195 , 105468
3 , 76526 , 91807
4 , 75559 , 79754
5 , 69663 , 65203
6 , 66729 , 52518
7 , 62986 , 39374
8 , 58355 , 25918
9 , 54811 , 13122
10 , 51510 , 0
===============================================
time slice 1
1 , 62324 , 119514
2 , 61222 , 105468
3 , 59087 , 91807
4 , 59459 , 79754
5 , 57769 , 65203
6 , 56467 , 52518
7 , 55214 , 39374
8 , 52876 , 25918
9 , 52600 , 13122
10 , 50928 , 0
===============================================
===============================================
contribution for event C on v1
time slice 1
2 , 44067 , 44067
3 , 87900 , 87900
4 , 129049 , 129049
5 , 173181 , 173181
6 , 217391 , 217391
7 , 259012 , 259012
8 , 299644 , 299644
9 , 347079 , 347079
10 , 389791 , 389791
===============================================
time slice 2
===============================================
time slice 3
===============================================
time slice 4
===============================================
time slice 5
===============================================
time slice 6
===============================================
===============================================
consumption and contribution for partial match 1
time slice 1
1 , 713515 , 388590
2 , 671849 , 346965
3 , 627579 , 302951
