consumption and contribution for event A on v1
time slice 1
1 , 2191226 , 1555208
2 , 2027423 , 1391320
3 , 1853800 , 1216813
4 , 1673394 , 1040361
5 , 1485555 , 858144
6 , 1343035 , 700867
7 , 1147068 , 515574
8 , 982712 , 347351
9 , 811784 , 174997
10 , 629193 , 0
===============================================
time slice 2
===============================================
time slice 3
===============================================
time slice 4
===============================================
time slice 5
===============================================
time slice 6
===============================================
time slice 7
===============================================
time slice 8
===============================================
===============================================
consumption and contribution for event B on v1
time slice 1
1 , 446945 , 368253
2 , 403217 , 324864
3 , 360426 , 282719
4 , 324799 , 245640
5 , 280173 , 202213
6 , 241701 , 163214
7 , 200402 , 121938
8 , 156427 , 79452
9 , 118842 , 41269
10 , 77637 , 0
===============================================
time slice 1
1 , 399866 , 368253
2 , 361703 , 324864
3 , 321816 , 282719
4 , 293998 , 245640
5 , 255180 , 202213
6 , 219955 , 163214
7 , 186489 , 121938
8 , 145826 , 79452
9 , 113493 , 41269
10 , 77516 , 0
===============================================
time slice 1
1 , 347654 , 368253
2 , 316448 , 324864
3 , 285861 , 282719
4 , 262200 , 245640
5 , 224874 , 202213
6 , 198802 , 163214
7 , 167100 , 121938
8 , 135699 , 79452
9 , 106207 , 41269
10 , 77334 , 0
===============================================
time slice 1
1 , 299789 , 368253
2 , 274286 , 324864
3 , 245873 , 282719
4 , 228156 , 245640
5 , 201375 , 202213
6 , 177604 , 163214
7 , 151550 , 121938
8 , 125178 , 79452
9 , 102233 , 41269
10 , 77440 , 0
===============================================
time slice 1
1 , 251058 , 368253
2 , 230388 , 324864
3 , 208669 , 282719
4 , 194464 , 245640
5 , 172301 , 202213
6 , 154066 , 163214
7 , 134875 , 121938
8 , 113053 , 79452
9 , 96411 , 41269
10 , 77466 , 0
===============================================
time slice 1
1 , 202129 , 368253
2 , 186458 , 324864
3 , 170942 , 282719
4 , 160759 , 245640
5 , 146503 , 202213
6 , 132393 , 163214
7 , 118514 , 121938
8 , 102947 , 79452
9 , 90473 , 41269
10 , 77547 , 0
===============================================
time slice 1
1 , 151273 , 368253
2 , 142132 , 324864
3 , 131754 , 282719
4 , 127214 , 245640
5 , 117541 , 202213
6 , 110735 , 163214
7 , 101925 , 121938
8 , 92224 , 79452
9 , 85954 , 41269
10 , 77404 , 0
===============================================
time slice 1
1 , 99663 , 368253
2 , 96315 , 324864
3 , 92230 , 282719
4 , 92650 , 245640
5 , 88198 , 202213
6 , 86143 , 163214
7 , 83260 , 121938
8 , 78431 , 79452
9 , 77287 , 41269
10 , 74796 , 0
===============================================
===============================================
contribution for event C on v1
time slice 1
2 , 177592 , 177592
3 , 352829 , 352829
4 , 516173 , 516173
5 , 696620 , 696620
6 , 871915 , 871915
7 , 1037684 , 1037684
8 , 1193846 , 1193846
9 , 1386081 , 1386081
10 , 1567895 , 1567895
===============================================
time slice 2
===============================================
time slice 3
===============================================
time slice 4
===============================================
time slice 5
===============================================
time slice 6
===============================================
time slice 7
===============================================
time slice 8
===============================================
===============================================
consumption and contribution for partial match 1
time slice 1
1 , 2191226 , 1555208
2 , 2027423 , 1391320
3 , 1853800 , 1216813
4 , 1673394 , 1040361
5 , 1485555 , 858144
6 , 1343035 , 700867
7 , 1147068 , 515574
8 , 982712 , 347351
9 , 811784 , 174997
10 , 629193 , 0
===============================================
time slice 2
===============================================
time slice 3
===============================================
time slice 4
===============================================
time slice 5
===============================================
time slice 6
===============================================
time slice 7
===============================================
time slice 8
===============================================
===============================================
consumption and contribution for partial match 2
time slice 1
2 , 49783 , 41765 , 0.838941
3 , 98530 , 82751 , 0.839856
4 , 145460 , 121865 , 0.83779
5 , 193504 , 162299 , 0.838737
6 , 244756 , 205249 , 0.838586
7 , 288547 , 241642 , 0.837444
8 , 335031 , 280371 , 0.836851
9 , 387856 , 325235 , 0.838546
10 , 439073 , 368385 , 0.839006
11 , 78117 , 0 , 0
12 , 70120 , 0 , 0
13 , 62498 , 0 , 0
14 , 54252 , 0 , 0
15 , 46865 , 0 , 0
16 , 38736 , 0 , 0
17 , 30972 , 0 , 0
18 , 23292 , 0 , 0
19 , 15591 , 0 , 0
20 , 7586 , 0 , 0
===============================================
time slice 2
2 , 44338 , 36350 , 0.819839
3 , 87497 , 71760 , 0.820142
4 , 128002 , 104649 , 0.817558
5 , 172384 , 141187 , 0.819026
6 , 218052 , 178518 , 0.818695
7 , 260821 , 213253 , 0.817622
8 , 299270 , 244253 , 0.816163
9 , 347334 , 284318 , 0.818572
10 , 389529 , 318874 , 0.818614
11 , 77841 , 0 , 0
12 , 70418 , 0 , 0
13 , 62733 , 0 , 0
14 , 54578 , 0 , 0
15 , 46573 , 0 , 0
16 , 38947 , 0 , 0
17 , 31064 , 0 , 0
18 , 22991 , 0 , 0
19 , 15701 , 0 , 0
20 , 7769 , 0 , 0
===============================================
time slice 3
2 , 39034 , 31016 , 0.794589
3 , 76456 , 60702 , 0.793947
4 , 112060 , 88657 , 0.791157
5 , 152746 , 121188 , 0.793396
6 , 187361 , 148535 , 0.792774
7 , 225109 , 177977 , 0.790626
8 , 260243 , 205321 , 0.788959
9 , 301592 , 238977 , 0.792385
10 , 340022 , 269438 , 0.792413
11 , 77877 , 0 , 0
12 , 70299 , 0 , 0
13 , 61796 , 0 , 0
14 , 54664 , 0 , 0
15 , 46346 , 0 , 0
16 , 38851 , 0 , 0
17 , 31302 , 0 , 0
18 , 23252 , 0 , 0
19 , 15412 , 0 , 0
20 , 7757 , 0 , 0
===============================================
time slice 4
2 , 32868 , 24911 , 0.75791
3 , 65611 , 49765 , 0.758486
4 , 96122 , 72613 , 0.755425
5 , 129875 , 98419 , 0.757798
6 , 162349 , 122955 , 0.75735
7 , 193596 , 146264 , 0.755511
8 , 223443 , 168560 , 0.754376
9 , 258074 , 195316 , 0.756822
10 , 292926 , 222030 , 0.757973
11 , 78384 , 0 , 0
12 , 70140 , 0 , 0
13 , 62285 , 0 , 0
14 , 54699 , 0 , 0
15 , 46759 , 0 , 0
16 , 39149 , 0 , 0
17 , 30693 , 0 , 0
18 , 23289 , 0 , 0
19 , 15505 , 0 , 0
20 , 7717 , 0 , 0
===============================================
time slice 5
2 , 26635 , 18888 , 0.709142
3 , 53944 , 38341 , 0.710756
4 , 80156 , 56589 , 0.705986
