39,7
40,9
41,3
42,1
43,1
44,4
45,3
46,2
47,5
48,3
49,3
50,2
52,1
57,2
58,1
65,1
71,2
84,1
122,1
143,1
208,1
287,1
289,1
316,1
330,1
335,1
346,1
356,1
370,1
421,1
436,1
476,1
585,1
686,1
760,1
824,1
851,1
874,1
905,1
932,1
1195,1
1317,1
1502,1
1594,1
1836,1
1878,1
1882,1
1894,1
1932,1
2038,1
2057,1
2062,1
2108,1
2143,1
2205,1
2220,1
2279,1
2307,1
2374,1
2378,1
2561,1
2669,1
2682,1
2699,1
2748,1
2835,1
2975,1
3262,1
7366,1
7409,1
7580,1
7704,1
7721,1
8205,1
8473,1
9370,1
10134,1
10582,1
11039,1
13509,1
14141,1
14933,1
14965,1
15349,1
15775,1
16349,1
17149,1
17968,1
22135,1
28453,1
30140,1
30212,1
35336,1
35359,1
35607,1
80180,1
