19 , 1 , 0
24 , 1 , 0
26 , 4 , 0
27 , 8 , 0
28 , 26 , 0
29 , 87 , 0
30 , 117 , 0
31 , 354 , 0
32 , 731 , 0
33 , 1310 , 0
34 , 3518 , 0
35 , 6510 , 9
36 , 11151 , 7
37 , 19123 , 60
38 , 30774 , 116
39 , 48846 , 160
40 , 69191 , 208
41 , 92245 , 230
42 , 116597 , 288
43 , 136782 , 329
44 , 159418 , 443
45 , 173739 , 485
46 , 172829 , 334
47 , 159871 , 610
48 , 144001 , 391
49 , 127661 , 430
50 , 105180 , 146
51 , 82522 , 76
52 , 64604 , 48
53 , 46889 , 16
54 , 33919 , 8
55 , 21660 , 3
56 , 13830 , 1
57 , 8905 , 0
58 , 4031 , 0
59 , 2610 , 0
60 , 1815 , 0
61 , 803 , 0
62 , 539 , 0
63 , 8 , 0
65 , 57 , 0
