time,ground_truth,prediction,accuracy,precision,recall,f1
201811081500,1,1,0.9988390804597701,0.5894308943089431,1.0,0.30344827586206896
201811081600,1,1,0.9936781609195402,0.7288092904098077,0.9763948497854077,0.6232876712328768
201811081800,1,1,0.9946091954022989,0.7974050832129818,0.9883211678832117,0.7427317608337904
2018110818003,1,0,0.9878045977011495,0.49390229885057474,0.0,0.0
201811081900,1,1,0.996816091954023,0.927953734551406,0.9063604240282686,0.8810648346930012
201811082000,1,1,0.9951609195402299,0.8775081694156839,0.9214285714285714,0.8305835010060363
201811082100,1,1,0.995632183908046,0.9176457987594027,0.9088983050847458,0.8713608666215302
201811082200,1,1,0.9969770114942529,0.9412362102813823,0.9207317073170732,0.9018290406868235
201811082300,1,1,0.9948045977011494,0.872794301997668,0.9705414012738853,0.843598615916955
201811090000,1,1,0.9971379310344828,0.9573491669759497,0.9237726098191215,0.919909938887102
201811090100,1,1,0.9964137931034482,0.9481855607435388,0.9113300492610837,0.9046454767726161
201811090200,1,1,0.995735632183908,0.9686853255360051,0.8570669500531349,0.8968584931887685
201811090300,1,1,0.9951264367816092,0.9617551624861623,0.8792639138240574,0.9023491478581298
