36,4
37,3
38,11
39,3
40,7
41,3
42,3
43,2
46,2
50,1
60,1
109,1
140,1
203,1
206,1
219,1
220,1
258,1
292,1
294,1
476,1
547,1
647,1
654,1
766,1
886,1
1090,1
1431,1
1692,1
1776,1
1793,1
1880,1
2040,1
2049,1
2082,2
2090,1
2102,1
2331,1
2364,1
2370,1
2374,1
2473,1
2540,1
2543,1
2901,1
3071,1
3179,1
6451,1
6633,1
6704,1
6979,1
6982,1
7082,1
7097,1
7119,1
7317,1
7647,1
7782,1
8005,1
8016,1
8233,1
8238,1
8243,1
8393,1
8620,1
9787,1
10163,1
10169,1
10338,1
10468,1
11137,1
11516,1
11734,1
13252,1
20171,1
20172,1
30168,1
30177,1
30186,1
30588,1
30866,1
31322,1
32355,1
33141,1
39183,1
40144,1
50120,1
50181,1
50386,1
60128,1
60169,1
60175,1
60474,1
60569,1
60845,1
80178,1
82256,1
88602,1
90181,1
