time,ground_truth,prediction,accuracy,precision,recall,f1
201806302200,1,1,0.999872322315222,0.8157752834499297,0.8571428571428571,0.7272727272727273
201806302300,1,1,0.9994751028514683,0.8762446499659917,0.8333333333333334,0.7909604519774012
201807010000,1,1,0.9996311533550858,0.8888320779698302,0.8873239436619719,0.8289473684210527
201807010100,1,1,0.9993190523478508,0.8362783848717352,0.8604651162790697,0.7551020408163266
201807010200,1,1,0.9995744077174067,0.8715454246474204,0.9759036144578314,0.84375
201807010300,1,1,0.9996595261739254,0.9040048881363822,0.9411764705882353,0.8695652173913043
201807010400,1,1,0.9998581359058022,0.8620547732690473,0.9130434782608695,0.8076923076923076
201807010500,1,1,0.9997304582210242,0.8222009290147554,0.90625,0.7532467532467533
201807010600,1,1,0.999872322315222,0.8461467503318661,0.9473684210526315,0.7999999999999999
201807010700,1,1,0.9998013902681231,0.8589530675803405,0.9032258064516129,0.8
201807010800,1,1,0.999815576677543,0.8472080285639487,0.9259259259259259,0.7936507936507936
201807010900,1,1,0.9999006951340615,0.8499929047821768,0.9333333333333333,0.8
