           1000      79.00     605.64    1693.00     186.70     270.50     316.00     901.50    1655.15          1     474.33
           2000      52.00     599.93    1954.00     116.85     170.25     243.50     821.50    1912.15          1     570.16
           3000      52.00    3634.99   23817.00     132.85     825.25    1188.00    5248.75   13704.15          1    4781.11
           4000      66.00   26695.39  135563.00     134.80    9287.75   10384.50   45033.75   97195.15          1   30635.25
