35,1
36,4
37,11
38,12
39,3
40,6
41,6
42,1
43,2
46,1
56,1
73,1
105,1
136,1
198,1
206,1
211,1
216,1
229,1
233,1
237,1
268,1
314,1
323,1
338,1
359,1
432,1
594,1
604,1
615,1
650,1
762,1
859,1
912,1
1045,1
1277,1
1398,1
1473,1
1675,1
1736,1
1789,1
1800,1
1874,1
1901,1
1994,1
2035,1
2078,1
2095,1
2139,1
2186,1
2214,1
2300,1
2308,1
2374,1
2478,1
2737,1
2774,1
2822,1
2838,1
2922,1
2987,1
6524,1
6599,1
6794,1
6939,1
6971,1
7016,1
7040,1
7120,1
7136,1
7191,1
7471,1
7521,1
7669,1
7677,1
7728,1
7978,1
8262,1
8266,1
8700,1
8838,1
12143,1
18266,1
30170,1
30173,1
30212,1
60173,1
80114,1
80171,1
80426,1
80572,1
80844,1
