36,2
37,13
38,11
39,10
40,5
41,2
42,1
43,2
44,1
45,1
106,1
137,1
196,1
214,1
220,1
229,1
236,1
254,1
313,1
316,1
320,1
361,1
443,1
451,1
611,1
617,1
640,1
650,1
788,1
861,1
1066,1
1387,1
1685,1
1768,1
1770,1
1788,1
2031,1
2032,1
2054,1
2102,1
2104,1
2107,1
2124,1
2208,1
2298,1
2307,1
2334,1
2337,1
2391,1
2460,1
2536,1
2545,1
2741,1
2825,1
2857,1
3067,1
6564,1
6712,1
6742,1
6834,1
6916,1
7046,1
7079,1
7231,1
7374,1
7484,1
7533,1
7726,1
7730,1
7797,1
7965,1
8099,1
8177,1
8215,1
8249,1
8289,1
9696,1
10136,1
20168,1
20570,1
20835,1
30162,1
30166,1
40169,1
50328,1
51128,1
51513,1
51754,1
70174,1
80169,1
80478,1
